mapId,waypointId,waypointOrder
1,20314,1
1,28374,2
1,1271,3
2,15163,1
2,13035,2
2,20845,3
2,3732,4
2,9501,5
3,22872,1
3,4008,2
4,7811,1
4,28811,2
4,12592,3
4,7874,4
4,21426,5
5,29043,1
5,21144,2
5,25976,3
6,1319,1
6,25857,2
6,4921,3
7,23723,1
7,17093,2
7,14480,3
7,5650,4
8,22106,1
8,10979,2
8,9870,3
8,949,4
8,6705,5
9,10225,1
9,2940,2
9,1389,3
9,15843,4
10,22566,1
10,9775,2
10,2705,3
10,29281,4
10,27726,5
11,4155,1
12,6519,1
12,19154,2
12,17269,3
12,26389,4
13,26595,1
13,17501,2
13,5895,3
14,14480,1
14,18411,2
14,26403,3
15,16778,1
15,15764,2
15,2789,3
15,26274,4
16,5754,1
16,9954,2
16,8487,3
16,17305,4
17,27428,1
17,27608,2
17,5114,3
17,13404,4
18,1027,1
18,15673,2
18,29322,3
18,18000,4
18,3906,5
19,14227,1
19,12633,2
19,13192,3
20,5593,1
20,29199,2
21,20035,1
21,2567,2
22,5175,1
22,13300,2
22,19960,3
22,17243,4
23,13977,1
23,22113,2
24,26680,1
24,2851,2
24,7393,3
24,1960,4
24,6377,5
25,19678,1
25,28445,2
26,20137,1
26,8420,2
26,19592,3
27,28067,1
27,19966,2
28,22103,1
28,2191,2
28,4059,3
28,12554,4
29,25243,1
29,4023,2
30,25331,1
30,26276,2
30,25352,3
30,9270,4
30,7728,5
31,2793,1
31,23681,2
31,29715,3
31,25183,4
31,25935,5
32,4938,1
32,10516,2
32,9930,3
33,2321,1
33,2949,2
33,14907,3
34,18000,1
34,952,2
34,9839,3
35,12120,1
35,29575,2
35,28978,3
35,4448,4
35,6629,5
36,4017,1
36,9392,2
36,26405,3
36,6290,4
36,28345,5
37,8730,1
37,19778,2
37,27418,3
37,18570,4
38,9455,1
38,4822,2
38,20933,3
39,5067,1
39,27176,2
39,392,3
39,17444,4
39,4378,5
40,9252,1
40,11565,2
41,23975,1
41,23755,2
41,2415,3
41,3709,4
41,25206,5
42,3958,1
42,6760,2
42,26863,3
42,27413,4
43,2324,1
43,8111,2
43,16683,3
44,24714,1
44,15544,2
44,3194,3
44,28094,4
44,13474,5
45,19110,1
45,12796,2
45,8366,3
46,720,1
46,5237,2
46,24579,3
47,26512,1
47,5985,2
47,3464,3
48,22120,1
48,17265,2
48,25715,3
49,26430,1
49,22979,2
49,29173,3
49,23517,4
49,22872,5
50,28380,1
50,28955,2
51,6666,1
51,12929,2
51,1947,3
51,14462,4
52,29035,1
52,7483,2
52,17549,3
53,23298,1
53,27906,2
54,7633,1
54,3104,2
55,22861,1
55,14430,2
56,13232,1
56,18268,2
56,16174,3
56,830,4
56,15588,5
57,4866,1
57,29525,2
57,26203,3
57,24747,4
57,10203,5
58,1940,1
58,2146,2
58,3044,3
58,22444,4
59,23295,1
59,2498,2
59,1782,3
59,25396,4
60,1356,1
60,11144,2
60,23658,3
60,2878,4
61,7317,1
61,14143,2
62,16874,1
62,21885,2
62,4724,3
63,8913,1
63,5952,2
63,8251,3
63,7153,4
64,16626,1
64,28123,2
65,29598,1
65,29656,2
66,683,1
66,27755,2
66,12397,3
66,6658,4
67,28406,1
67,29034,2
68,18,1
68,26513,2
68,20249,3
69,6041,1
69,9073,2
69,18678,3
69,28510,4
70,23955,1
70,5800,2
70,1023,3
70,29869,4
71,24227,1
71,10548,2
71,19697,3
71,13163,4
72,4428,1
72,495,2
73,10031,1
73,16657,2
73,5438,3
73,18262,4
74,1231,1
74,23723,2
74,26382,3
74,10439,4
74,24568,5
75,9222,1
75,5239,2
76,12557,1
76,21022,2
76,8548,3
77,12550,1
77,24853,2
77,24643,3
77,27019,4
78,13518,1
78,27924,2
78,25806,3
79,22912,1
79,18262,2
79,8154,3
79,17882,4
80,22094,1
80,4630,2
81,27951,1
81,3385,2
81,1570,3
81,10463,4
81,10909,5
82,28105,1
82,10090,2
82,27763,3
82,16654,4
83,19615,1
83,23084,2
83,26386,3
84,28169,1
84,14157,2
85,2513,1
85,26203,2
85,16667,3
85,23290,4
86,1100,1
86,6543,2
86,11263,3
86,5704,4
87,1208,1
87,23162,2
87,21579,3
87,25472,4
88,23780,1
88,7450,2
88,13071,3
88,14034,4
88,16648,5
89,331,1
89,2747,2
90,5330,1
90,5699,2
90,3532,3
90,21884,4
91,27849,1
91,5482,2
91,26293,3
92,18101,1
92,15998,2
92,9270,3
92,28932,4
93,17487,1
93,11334,2
93,14204,3
94,13407,1
94,29751,2
95,5753,1
95,4211,2
95,2111,3
95,6187,4
95,4267,5
96,1269,1
96,25762,2
96,17,3
96,1770,4
97,9663,1
97,14920,2
97,27911,3
97,10640,4
98,25206,1
98,4155,2
99,3044,1
99,15727,2
99,13349,3
100,23215,1
100,1,2
100,991,3
100,20988,4
101,10117,1
101,415,2
102,3682,1
102,747,2
102,14456,3
103,21702,1
103,4879,2
103,19615,3
103,29832,4
104,18254,1
104,29089,2
104,23012,3
104,6023,4
104,28238,5
105,24343,1
105,8612,2
105,5155,3
105,11243,4
105,12121,5
106,8668,1
106,15,2
106,9759,3
106,27966,4
107,9967,1
107,6719,2
107,14227,3
107,474,4
107,10437,5
108,25491,1
108,7153,2
108,18691,3
108,23124,4
109,27306,1
109,22327,2
110,769,1
110,29479,2
111,21937,1
111,28817,2
111,26945,3
111,25179,4
112,1382,1
112,6386,2
112,7991,3
112,27939,4
113,25457,1
113,19665,2
113,29907,3
113,3467,4
114,28916,1
114,21929,2
114,31,3
115,25645,1
115,28667,2
115,29040,3
115,9507,4
116,29465,1
116,10879,2
116,5953,3
117,1,1
117,9780,2
118,8879,1
118,21916,2
119,10499,1
119,7037,2
119,4121,3
120,28065,1
120,23545,2
120,7469,3
121,24869,1
121,16764,2
121,10691,3
121,29156,4
122,23911,1
122,12410,2
123,21711,1
123,17483,2
123,17274,3
124,4571,1
124,28892,2
124,26876,3
125,9927,1
125,22421,2
126,16732,1
126,3019,2
127,28990,1
127,5345,2
127,21440,3
128,4155,1
128,4428,2
128,495,3
129,18436,1
129,1927,2
129,13397,3
130,2401,1
130,3578,2
130,28474,3
130,10273,4
130,6376,5
131,21108,1
131,21702,2
131,3949,3
131,8850,4
132,28380,1
132,3008,2
133,9055,1
133,11208,2
134,2583,1
