id,description,userName,rating
1,Map 1,lorozco,1.7
2,Map 2,tarawheeler,1.1
3,Map 3,bradfordjennifer,4.6
4,Map 4,james67,1.6
5,Map 5,ginawood,4.6
6,Map 6,qanderson,4.6
7,Map 7,john78,4.4
8,Map 8,stefanie40,2.1
9,Map 9,abigail26,2.6
10,Map 10,isimmons,1.6
11,Map 11,williamsgina,1.5
12,Map 12,joneseric,4.2
13,Map 13,brendawilliams,1.2
14,Map 14,fwilson,1.5
15,Map 15,shannoncohen,3.3
16,Map 16,adam16,2.4
17,Map 17,johnmalone,4.5
18,Map 18,torressamantha,2.3
19,Map 19,davisbrian,3.5
20,Map 20,stevensscott,1.7
21,Map 21,nicholas92,1.2
22,Map 22,danielle90,4.3
23,Map 23,marissawest,4.5
24,Map 24,ogeorge,2.4
25,Map 25,cooleycarl,4.7
26,Map 26,juliewilliams,3.8
27,Map 27,castanedabobby,3.2
28,Map 28,lopezbeth,2.3
29,Map 29,nicholassloan,3.6
30,Map 30,devin42,4.1
31,Map 31,gomezkayla,3.6
32,Map 32,smithapril,2.2
33,Map 33,qpruitt,3.4
34,Map 34,jessicaknight,3.1
35,Map 35,theresa71,4.4
36,Map 36,kevinbarnes,4.6
37,Map 37,cooleycarl,3.8
38,Map 38,vincent87,1.4
39,Map 39,erincook,4.6
40,Map 40,tgibson,2.9
41,Map 41,aaustin,2.5
42,Map 42,zachary84,4.1
43,Map 43,gwendolyn48,1.9
44,Map 44,angelica15,1.5
45,Map 45,yweaver,4.8
46,Map 46,griffindonna,4.1
47,Map 47,ogeorge,3.2
48,Map 48,thomaslarson,1.4
49,Map 49,jguzman,3.1
50,Map 50,juliewilliams,3.6
51,Map 51,josephsmith,1.7
52,Map 52,jacqueline09,1.0
53,Map 53,egeorge,1.3
54,Map 54,richteresa,1.9
55,Map 55,wjoseph,1.8
56,Map 56,boonekarla,3.3
57,Map 57,patrick52,4.4
58,Map 58,scott14,3.7
59,Map 59,cynthiarose,4.4
60,Map 60,frankgould,1.3
61,Map 61,michelle07,4.9
62,Map 62,qlucas,1.0
63,Map 63,dennismelissa,3.9
64,Map 64,cheath,1.0
65,Map 65,costaphillip,4.8
66,Map 66,heather67,1.7
67,Map 67,lewisjeffrey,3.2
68,Map 68,charlesmichael,4.9
69,Map 69,richard28,2.7
70,Map 70,amber51,2.4
71,Map 71,heidi66,3.7
72,Map 72,meyersteven,4.1
73,Map 73,davistina,3.2
74,Map 74,zhernandez,5.0
75,Map 75,xmartinez,4.5
76,Map 76,fmullen,2.2
77,Map 77,laneryan,2.0
78,Map 78,kristinrussell,3.4
79,Map 79,guerreroheidi,3.3
80,Map 80,hendersonmichael,2.5
81,Map 81,carolyncollins,1.7
82,Map 82,elizabethedwards,4.9
83,Map 83,dwebb,5.0
84,Map 84,stephanie87,2.6
